state,abbreviation,2000,2006,2007,2008,2009
Alabama,AL,6.9,7.7,8,7.7,7.7
Alaska,AK,8.6,9.5,9.9,9.7,9
Arizona,AZ,8.4,9.2,9.2,9.2,9.3
Arkansas,AR,5.7,6.2,6.5,6.3,6.1
California,CA,9.5,10.4,10.5,10.8,10.7
Colorado,CO,11.1,12.4,12.5,12.7,12.7
Connecticut,CT,13.3,14.4,15.4,15.2,15.5
Delaware,DE,9.4,10.5,10.4,10.8,11.4
District of Columbia,DC,21,25.4,26,26.7,28
Florida,FL,8.1,8.9,8.9,9,9
Georgia,GA,8.3,9.2,9.5,9.7,9.9
Hawaii,HI,8.4,9.8,9.9,9.9,9.9
Idaho,ID,6.8,7.1,7.6,7.4,7.5
Illinois,IL,9.5,10.8,11,11.2,11.7
Indiana,IN,7.2,8,7.9,8.1,8.1
Iowa,IA,6.5,7.4,7.5,7.3,7.4
Kansas,KS,8.7,9.8,9.8,10.1,10.2
Kentucky,KY,6.9,8.2,8,7.9,8.5
Louisiana,LA,6.5,6.8,6.6,6.5,6.9
Maine,ME,7.9,8.9,9.2,8.9,9.6
Maryland,MD,13.4,15.7,15.7,15.4,16
Massachusetts,MA,13.7,15.6,16,16.4,16.4
Michigan,MI,8.1,9.2,9.5,9.4,9.4
Minnesota,MN,8.3,9.6,10,10,10.3
Mississippi,MS,5.8,6.1,6.4,6.8,7.1
Missouri,MO,7.6,8.7,8.9,9.1,9.5
Montana,MT,7.2,8.4,8.6,8.4,8.3
Nebraska,NE,7.3,8.4,8.8,8.6,8.8
Nevada,NV,6.1,7.2,7.5,7,7.6
New Hampshire,NH,10,11.2,11.5,12,11.2
New Jersey,NJ,11,12.4,12.7,12.8,12.9
New Mexico,NM,9.8,10.9,10.2,10.7,10.4
New York,NY,11.8,13.3,13.5,13.8,14
North Carolina,NC,7.2,8.3,8.6,8.6,8.8
North Dakota,ND,5.5,6.5,6.4,6.6,6.7
Ohio,OH,7.4,8.3,8.8,8.7,8.8
Oklahoma,OK,6.8,7.2,7.6,7.2,7.4
Oregon,OR,8.7,10,10.3,10.1,10.4
Pennsylvania,PA,8.4,9.6,9.9,10,10.2
Rhode Island,RI,9.7,11.3,11.8,11.3,11.7
South Carolina,SC,6.9,7.9,8.2,8.5,8.4
South Dakota,SD,6,7.2,7,7.3,7.3
Tennessee,TN,6.8,7.5,7.6,8,7.9
Texas,TX,7.6,8,8.2,8.3,8.5
Utah,UT,8.3,9.4,9.1,9.4,9.1
Vermont,VT,11.1,12.8,12.9,12.2,13.3
Virginia,VA,11.6,13.2,13.7,13.8,14.1
Washington,WA,9.3,10.7,10.8,10.9,11.1
West Virginia,WV,5.9,6.6,6.6,6.7,6.7
Wisconsin,WI,7.2,8.4,8.5,8.6,8.4
Wyoming,WY,7,7.4,7.7,7.9,7.9
