state,abbreviation,2000,2006,2007,2008,2009
Alabama,AL,75.3,80.1,80.4,81.9,82.1
Alaska,AK,88.3,89.7,90.5,91.6,91.4
Arizona,AZ,81,83.8,83.5,83.8,84.2
Arkansas,AR,75.3,80.5,81.1,82,82.4
California,CA,76.8,80.1,80.2,80.2,80.6
Colorado,CO,86.9,88,88.9,88.9,89.3
Connecticut,CT,84,88,88,88.6,88.6
Delaware,DE,82.6,85.5,87.4,87.2,87.4
District of Columbia,DC,77.8,84.3,85.7,85.8,87.1
Florida,FL,79.9,84.5,84.9,85.2,85.3
Georgia,GA,78.6,82.2,82.9,83.9,83.9
Hawaii,HI,84.6,89,89.4,90.3,90.4
Idaho,ID,84.7,87.3,88.4,87.9,88.4
Illinois,IL,81.4,85,85.7,85.9,86.4
Indiana,IN,82.1,85.2,85.8,86.2,86.6
Iowa,IA,86.1,88.9,89.6,90.3,90.5
Kansas,KS,86,88.5,89.1,89.5,89.7
Kentucky,KY,74.1,79.6,80.1,81.3,81.7
Louisiana,LA,74.8,79.4,79.9,81.2,82.2
Maine,ME,85.4,88.7,89.4,89.7,90.2
Maryland,MD,83.8,87.1,87.4,88,88.2
Massachusetts,MA,84.8,87.9,88.4,88.7,89
Michigan,MI,83.4,87.2,87.4,88.1,87.9
Minnesota,MN,87.9,90.7,91,91.6,91.5
Mississippi,MS,72.9,77.9,78.5,79.9,80.4
Missouri,MO,81.3,84.8,85.6,86.5,86.8
Montana,MT,87.2,90.1,90,90.9,90.8
Nebraska,NE,86.6,89.5,89.6,90.1,89.8
Nevada,NV,80.7,83.9,83.7,83.5,83.9
New Hampshire,NH,87.4,89.9,90.5,90.9,91.3
New Jersey,NJ,82.1,86.1,87,87.4,87.4
New Mexico,NM,78.9,81.5,82.3,82.4,82.8
New York,NY,79.1,84.1,84.1,84.1,84.7
North Carolina,NC,78.1,82,83,83.6,84.3
North Dakota,ND,83.9,88.1,89,89.6,90.1
Ohio,OH,83,86.2,87.1,87.6,87.6
Oklahoma,OK,80.6,84.3,84.8,85.5,85.6
Oregon,OR,85.1,87.6,88,88.6,89.1
Pennsylvania,PA,81.9,86.2,86.8,87.5,87.9
Rhode Island,RI,78,82.4,83,83.7,84.7
South Carolina,SC,76.3,81.3,82.1,83.2,83.6
South Dakota,SD,84.6,88.3,88.2,90.3,89.9
Tennessee,TN,75.9,80.9,81.4,83,83.1
Texas,TX,75.7,78.6,79.1,79.6,79.9
Utah,UT,87.7,90.2,90.2,90.4,90.4
Vermont,VT,86.4,89.8,90.3,90.6,91
Virginia,VA,81.5,85.4,85.9,85.9,86.6
Washington,WA,87.1,89,89.3,89.6,89.7
West Virginia,WV,75.2,81,81.2,82.2,82.8
Wisconsin,WI,85.1,88.4,89,89.6,89.8
Wyoming,WY,87.9,90.2,91.2,91.7,91.8
